Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3509452;Interior;Campina do Monte Alegre;625;25;;;
3509502;Interior;Campinas;120596;4665;;;
3509601;Interior;Campo Limpo Paulista;6451;290;;;
3509700;Interior;Campos do Jordão;6196;146;;;
3509809;Interior;Campos Novos Paulista;310;10;;;
3509908;Interior;Cananéia;1002;32;;;
3509957;Interior;Canas;223;4;;;
3510005;Interior;Cândido Mota;5160;169;;;
3510104;Interior;Cândido Rodrigues;144;7;;;
3510153;Interior;Canitar;880;25;;;
3510203;Interior;Capão Bonito;6141;161;;;
3510302;Interior;Capela do Alto;1675;39;;;
3510401;Interior;Capivari;5883;112;;;
3510500;Interior;Caraguatatuba;19373;482;;;
3510609;RMSP (exceto capital);Carapicuíba;34435;1189;;;
3510708;Interior;Cardoso;1820;65;;;
3510807;Interior;Casa Branca;3704;109;;;
3510906;Interior;Cássia dos Coqueiros;253;1;;;
3511003;Interior;Castilho;2543;89;;;
3511102;Interior;Catanduva;15822;630;;;
3511201;Interior;Catiguá;879;39;;;
3511300;Interior;Cedral;1463;31;;;
3511409;Interior;Cerqueira César;2248;50;;;
3511508;Interior;Cerquilho;7192;164;;;
3511607;Interior;Cesário Lange;2606;70;;;
3511706;Interior;Charqueada;1603;46;;;
3511904;Interior;Clementina;968;22;;;
3512001;Interior;Colina;1687;71;;;
3512100;Interior;Colômbia;693;15;;;
3512209;Interior;Conchal;3155;84;;;
3512308;Interior;Conchas;2851;73;;;
3512407;Interior;Cordeirópolis;5936;102;;;
3512506;Interior;Coroados;991;20;;;
3512605;Interior;Coronel Macedo;663;25;;;
3512704;Interior;Corumbataí;514;7;;;
3512803;Interior;Cosmópolis;7943;174;;;
3512902;Interior;Cosmorama;809;42;;;
3513009;RMSP (exceto capital);Cotia;17563;675;;;
3513108;Interior;Cravinhos;2216;98;;;
3513207;Interior;Cristais Paulista;1295;17;;;
3513306;Interior;Cruzália;199;6;;;
3513405;Interior;Cruzeiro;6759;104;;;
3513504;Interior;Cubatão;13968;510;;;
3513603;Interior;Cunha;888;15;;;
3513702;Interior;Descalvado;4361;87;;;
3513801;RMSP (exceto capital);Diadema;26929;1463;;;
3513850;Interior;Dirce Reis;196;5;;;
3513900;Interior;Divinolândia;1383;48;;;
3514007;Interior;Dobrada;617;10;;;
3514106;Interior;Dois Córregos;1843;43;;;
3514205;Interior;Dolcinópolis;260;7;;;
3514304;Interior;Dourado;1212;19;;;
3514403;Interior;Dracena;6067;271;;;
3514502;Interior;Duartina;1137;28;;;
3514601;Interior;Dumont;1568;24;;;
3514700;Interior;Echaporã;805;25;;;
3514809;Interior;Eldorado;1685;27;;;
3514908;Interior;Elias Fausto;1660;36;;;
3514924;Interior;Elisiário;584;8;;;
3514957;Interior;Embaúba;123;10;;;
3515004;RMSP (exceto capital);Embu das Artes;10759;647;;;
3515103;RMSP (exceto capital);Embu-Guaçu;5205;216;;;
3515129;Interior;Emilianópolis;396;8;;;
3515152;Interior;Engenheiro Coelho;2708;57;;;
3515186;Interior;Espírito Santo do Pinhal;5232;111;;;
3515194;Interior;Espírito Santo do Turvo;476;9;;;
3515202;Interior;Estrela d'Oeste;2094;32;;;
3515301;Interior;Estrela do Norte;380;6;;;
3515350;Interior;Euclides da Cunha Paulista;506;15;;;
3515400;Interior;Fartura;2343;51;;;
3515509;Interior;Fernandópolis;12770;366;;;
3515608;Interior;Fernando Prestes;995;12;;;
3515657;Interior;Fernão;252;1;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;10475;508;;;
3515806;Interior;Flora Rica;134;7;;;
3515905;Interior;Floreal;277;7;;;
3516002;Interior;Flórida Paulista;1489;35;;;
3516101;Interior;Florínea;429;13;;;
3516200;Interior;Franca;38497;969;;;
3516309;RMSP (exceto capital);Francisco Morato;12405;454;;;
3516408;RMSP (exceto capital);Franco da Rocha;14652;406;;;
3516507;Interior;Gabriel Monteiro;325;6;;;
3516606;Interior;Gália;601;19;;;
3516705;Interior;Garça;5647;143;;;
3516804;Interior;Gastão Vidigal;207;16;;;
3516853;Interior;Gavião Peixoto;1410;23;;;
3516903;Interior;General Salgado;1156;43;;;
3517000;Interior;Getulina;1110;34;;;
3517109;Interior;Glicério;607;21;;;
3517208;Interior;Guaiçara;1373;24;;;
3517307;Interior;Guaimbê;588;9;;;
3517406;Interior;Guaíra;6080;225;;;
3517505;Interior;Guapiaçu;2107;82;;;
3517604;Interior;Guapiara;2310;87;;;
3517703;Interior;Guará;2664;106;;;
3517802;Interior;Guaraçaí;917;24;;;
3517901;Interior;Guaraci;1517;28;;;
3518008;Interior;Guarani d'Oeste;230;6;;;
3518107;Interior;Guarantã;293;20;;;
3518206;Interior;Guararapes;5048;114;;;
3518305;RMSP (exceto capital);Guararema;2343;103;;;
3518404;Interior;Guaratinguetá;11698;313;;;
3518503;Interior;Guareí;3437;34;;;
3518602;Interior;Guariba;4239;108;;;
3518701;Interior;Guarujá;22657;1330;;;
3518800;RMSP (exceto capital);Guarulhos;66655;5090;;;
3518859;Interior;Guatapará;499;25;;;
3518909;Interior;Guzolândia;598;30;;;
3519006;Interior;Herculândia;1177;27;;;
3519055;Interior;Holambra;2469;17;;;
3519071;Interior;Hortolândia;26264;772;;;
3519105;Interior;Iacanga;1688;28;;;
3519204;Interior;Iacri;840;16;;;
3519253;Interior;Iaras;288;20;;;
3519303;Interior;Ibaté;3955;103;;;
3519402;Interior;Ibirá;2083;42;;;
3519501;Interior;Ibirarema;830;33;;;
3519600;Interior;Ibitinga;10082;285;;;
3519709;Interior;Ibiúna;5247;144;;;
3519808;Interior;Icém;1244;30;;;
3519907;Interior;Iepê;972;28;;;
3520004;Interior;Igaraçu do Tietê;3062;70;;;
3520103;Interior;Igarapava;1383;93;;;
3520202;Interior;Igaratá;2158;35;;;
3520301;Interior;Iguape;2751;114;;;
3520400;Interior;Ilhabela;7432;43;;;
3520426;Interior;Ilha Comprida;1573;52;;;
3520442;Interior;Ilha Solteira;3463;101;;;
3520509;Interior;Indaiatuba;27651;758;;;
3520608;Interior;Indiana;257;11;;;
3520707;Interior;Indiaporã;419;13;;;
3520806;Interior;Inúbia Paulista;539;17;;;
3520905;Interior;Ipaussu;2772;46;;;
3521002;Interior;Iperó;3311;59;;;
3521101;Interior;Ipeúna;766;22;;;
3521150;Interior;Ipiguá;1234;27;;;
3521200;Interior;Iporanga;608;7;;;
3521309;Interior;Ipuã;2240;63;;;
3521408;Interior;Iracemápolis;4826;100;;;
3521507;Interior;Irapuã;963;29;;;
3521606;Interior;Irapuru;734;36;;;
3521705;Interior;Itaberá;2429;68;;;
3521804;Interior;Itaí;3072;75;;;
3521903;Interior;Itajobi;2705;59;;;
3522000;Interior;Itaju;554;8;;;
3522109;Interior;Itanhaém;6989;342;;;
3522158;Interior;Itaoca;285;8;;;
3522208;RMSP (exceto capital);Itapecerica da Serra;8917;473;;;
3522307;Interior;Itapetininga;17872;559;;;
3522406;Interior;Itapeva;12573;440;;;
3522505;RMSP (exceto capital);Itapevi;12781;712;;;
3522604;Interior;Itapira;10007;322;;;
3522653;Interior;Itapirapuã Paulista;580;4;;;
3522703;Interior;Itápolis;6490;164;;;
3522802;Interior;Itaporanga;2027;52;;;
3522901;Interior;Itapuí;1664;42;;;
3523008;Interior;Itapura;386;14;;;
3523107;RMSP (exceto capital);Itaquaquecetuba;20612;1070;;;
3523206;Interior;Itararé;7180;254;;;
3523305;Interior;Itariri;1401;45;;;
3523404;Interior;Itatiba;14300;217;;;
3523503;Interior;Itatinga;3041;58;;;
3523602;Interior;Itirapina;1661;38;;;
3523701;Interior;Itirapuã;324;8;;;
3523800;Interior;Itobi;616;22;;;
3523909;Interior;Itu;24295;525;;;
3524006;Interior;Itupeva;7001;152;;;
3524105;Interior;Ituverava;2896;151;;;
3524204;Interior;Jaborandi;579;24;;;
3524303;Interior;Jaboticabal;7543;130;;;
3524402;Interior;Jacareí;25915;779;;;
3524501;Interior;Jaci;1361;30;;;
3524600;Interior;Jacupiranga;1711;54;;;
3524709;Interior;Jaguariúna;7118;144;;;
3524808;Interior;Jales;7384;275;;;
3524907;Interior;Jambeiro;428;14;;;
3525003;RMSP (exceto capital);Jandira;8244;338;;;
3525102;Interior;Jardinópolis;4249;146;;;
3525201;Interior;Jarinu;3127;78;;;
3525300;Interior;Jaú;14223;559;;;
3525409;Interior;Jeriquara;355;3;;;
3525508;Interior;Joanópolis;1239;7;;;
3525607;Interior;João Ramalho;663;12;;;
3525706;Interior;José Bonifácio;6055;151;;;
3525805;Interior;Júlio Mesquita;343;14;;;
3525854;Interior;Jumirim;542;8;;;
3525904;Interior;Jundiaí;56486;1628;;;
3526001;Interior;Junqueirópolis;2264;95;;;
3526100;Interior;Juquiá;2149;63;;;
3526209;RMSP (exceto capital);Juquitiba;1789;78;;;
3526308;Interior;Lagoinha;243;16;;;
3526407;Interior;Laranjal Paulista;4695;120;;;
3526506;Interior;Lavínia;951;17;;;
3526605;Interior;Lavrinhas;343;5;;;
3526704;Interior;Leme;14359;430;;;
3526803;Interior;Lençóis Paulista;13467;186;;;
3526902;Interior;Limeira;28997;1177;;;
3527009;Interior;Lindóia;975;17;;;
3527108;Interior;Lins;9736;299;;;
3527207;Interior;Lorena;5412;143;;;
3527256;Interior;Lourdes;299;6;;;
3527306;Interior;Louveira;5535;108;;;
3527405;Interior;Lucélia;2104;62;;;
3527504;Interior;Lucianópolis;348;6;;;
3527603;Interior;Luís Antônio;2200;35;;;
3527702;Interior;Luiziânia;300;12;;;
3527801;Interior;Lupércio;268;8;;;
3527900;Interior;Lutécia;247;6;;;
3528007;Interior;Macatuba;3455;61;;;
3528106;Interior;Macaubal;1021;19;;;
3528205;Interior;Macedônia;472;27;;;
3528304;Interior;Magda;409;10;;;
3528403;Interior;Mairinque;4486;73;;;
3528502;RMSP (exceto capital);Mairiporã;6823;245;;;
3528601;Interior;Manduri;992;23;;;
3528700;Interior;Marabá Paulista;148;4;;;
3528809;Interior;Maracaí;2164;46;;;
3528858;Interior;Marapoama;583;15;;;
3528908;Interior;Mariápolis;305;9;;;
3529005;Interior;Marília;32682;992;;;
3529104;Interior;Marinópolis;231;5;;;
3529203;Interior;Martinópolis;2014;86;;;
3529302;Interior;Matão;5663;209;;;
3529401;RMSP (exceto capital);Mauá;32399;1582;;;
3529500;Interior;Mendonça;1133;31;;;
3529609;Interior;Meridiano;366;32;;;
3529658;Interior;Mesópolis;314;5;;;
3529708;Interior;Miguelópolis;1511;95;;;
3529807;Interior;Mineiros do Tietê;1605;32;;;
3529906;Interior;Miracatu;2409;76;;;
3530003;Interior;Mira Estrela;359;15;;;
3530102;Interior;Mirandópolis;2231;108;;;
3530201;Interior;Mirante do Paranapanema;1313;45;;;
3530300;Interior;Mirassol;10133;285;;;
3530409;Interior;Mirassolândia;762;18;;;
3530508;Interior;Mococa;6491;248;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;35257;1742;;;
3530706;Interior;Mogi Guaçu;22731;612;;;
3530805;Interior;Mogi Mirim;12712;371;;;
3530904;Interior;Mombuca;463;10;;;
3531001;Interior;Monções;271;6;;;
3531100;Interior;Mongaguá;2346;95;;;
3531209;Interior;Monte Alegre do Sul;694;16;;;
3531308;Interior;Monte Alto;6775;193;;;
3531407;Interior;Monte Aprazível;3086;92;;;
3531506;Interior;Monte Azul Paulista;2365;26;;;
3531605;Interior;Monte Castelo;730;18;;;
3531704;Interior;Monteiro Lobato;283;9;;;
3531803;Interior;Monte Mor;7370;143;;;
3531902;Interior;Morro Agudo;4673;103;;;
3532009;Interior;Morungaba;1080;28;;;
3532058;Interior;Motuca;363;9;;;
3532108;Interior;Murutinga do Sul;454;19;;;
3532157;Interior;Nantes;244;8;;;
3532207;Interior;Narandiba;1183;22;;;
3532306;Interior;Natividade da Serra;231;14;;;
3532405;Interior;Nazaré Paulista;1713;50;;;
3532504;Interior;Neves Paulista;1502;44;;;
3532603;Interior;Nhandeara;1536;50;;;
3532702;Interior;Nipoã;509;15;;;
3532801;Interior;Nova Aliança;1214;25;;;
3532827;Interior;Nova Campina;894;44;;;
3532843;Interior;Nova Canaã Paulista;323;8;;;
3532868;Interior;Nova Castilho;112;3;;;
3532900;Interior;Nova Europa;827;29;;;
3533007;Interior;Nova Granada;3376;77;;;
3533106;Interior;Nova Guataporanga;213;4;;;
3533205;Interior;Nova Independência;640;7;;;
3533254;Interior;Novais;305;13;;;
3533304;Interior;Nova Luzitânia;386;13;;;
3533403;Interior;Nova Odessa;7427;223;;;
3533502;Interior;Novo Horizonte;6070;218;;;
3533601;Interior;Nuporanga;408;10;;;
3533700;Interior;Ocauçu;447;5;;;
3533809;Interior;Óleo;156;5;;;
3533908;Interior;Olímpia;11252;276;;;
3534005;Interior;Onda Verde;931;27;;;
3534104;Interior;Oriente;423;25;;;
3534203;Interior;Orindiúva;1521;18;;;
3534302;Interior;Orlândia;5028;121;;;
3534401;RMSP (exceto capital);Osasco;46601;2765;;;
3534500;Interior;Oscar Bressane;366;8;;;
3534609;Interior;Osvaldo Cruz;5508;121;;;
3534708;Interior;Ourinhos;16594;518;;;
3534757;Interior;Ouroeste;1801;46;;;
3534807;Interior;Ouro Verde;1023;29;;;
3534906;Interior;Pacaembu;1454;40;;;
3535002;Interior;Palestina;674;40;;;
3535101;Interior;Palmares Paulista;1673;45;;;
3535200;Interior;Palmeira d'Oeste;981;22;;;
3535309;Interior;Palmital;3105;72;;;
3535408;Interior;Panorama;1918;58;;;
3535507;Interior;Paraguaçu Paulista;5706;159;;;
3535606;Interior;Paraibuna;1271;50;;;
3535705;Interior;Paraíso;567;24;;;
3535804;Interior;Paranapanema;2235;76;;;
3535903;Interior;Paranapuã;538;23;;;
3536000;Interior;Parapuã;1552;39;;;
3536109;Interior;Pardinho;811;16;;;
3536208;Interior;Pariquera-Açu;2508;65;;;
3536257;Interior;Parisi;491;18;;;
3536307;Interior;Patrocínio Paulista;1133;34;;;
3536406;Interior;Paulicéia;858;20;;;
3536505;Interior;Paulínia;16092;313;;;
3536570;Interior;Paulistânia;202;5;;;
3536604;Interior;Paulo de Faria;673;36;;;
3536703;Interior;Pederneiras;5291;123;;;
3536802;Interior;Pedra Bela;241;4;;;
3536901;Interior;Pedranópolis;285;9;;;
3537008;Interior;Pedregulho;374;21;;;
3537107;Interior;Pedreira;4541;113;;;
3537156;Interior;Pedrinhas Paulista;477;9;;;
3537206;Interior;Pedro de Toledo;459;17;;;
3537305;Interior;Penápolis;7531;261;;;
3537404;Interior;Pereira Barreto;3111;106;;;
3537503;Interior;Pereiras;1182;23;;;
3537602;Interior;Peruíbe;7183;251;;;
3537701;Interior;Piacatu;819;10;;;
3537800;Interior;Piedade;6261;163;;;
3537909;Interior;Pilar do Sul;3089;84;;;
3538006;Interior;Pindamonhangaba;15290;469;;;
3538105;Interior;Pindorama;1948;54;;;
3538204;Interior;Pinhalzinho;1380;10;;;
3538303;Interior;Piquerobi;245;8;;;
3538501;Interior;Piquete;363;18;;;
3538600;Interior;Piracaia;3930;55;;;
3538709;Interior;Piracicaba;68990;1426;;;
3538808;Interior;Piraju;2417;86;;;
3538907;Interior;Pirajuí;2620;62;;;
3539004;Interior;Pirangi;1804;67;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1666;22;;;
3539202;Interior;Pirapozinho;3084;74;;;
3539301;Interior;Pirassununga;9697;265;;;
3539400;Interior;Piratininga;1515;43;;;
3539509;Interior;Pitangueiras;5595;165;;;
3539608;Interior;Planalto;650;11;;;
3539707;Interior;Platina;409;11;;;
3539806;RMSP (exceto capital);Poá;9059;421;;;
3539905;Interior;Poloni;909;18;;;
3540002;Interior;Pompéia;1011;43;;;
3540101;Interior;Pongaí;359;12;;;
3540200;Interior;Pontal;5266;165;;;
3540259;Interior;Pontalinda;210;15;;;
3540309;Interior;Pontes Gestal;481;8;;;
3540408;Interior;Populina;481;14;;;
3540507;Interior;Porangaba;890;21;;;
3540606;Interior;Porto Feliz;9351;150;;;
3540705;Interior;Porto Ferreira;8340;186;;;
3540754;Interior;Potim;2085;39;;;
3540804;Interior;Potirendaba;3639;82;;;
3540853;Interior;Pracinha;144;3;;;
3540903;Interior;Pradópolis;2010;41;;;
3541000;Interior;Praia Grande;28130;1044;;;
3541059;Interior;Pratânia;977;13;;;
3541109;Interior;Presidente Alves;288;8;;;
3541208;Interior;Presidente Bernardes;1364;44;;;
3541307;Interior;Presidente Epitácio;3474;127;;;
3541406;Interior;Presidente Prudente;33743;929;;;
3541505;Interior;Presidente Venceslau;4146;118;;;
3541604;Interior;Promissão;6001;111;;;
3541653;Interior;Quadra;244;8;;;
3541703;Interior;Quatá;1751;30;;;
3541802;Interior;Queiroz;547;3;;;
3541901;Interior;Queluz;967;24;;;
3542008;Interior;Quintana;584;30;;;
3542107;Interior;Rafard;1102;12;;;
3542206;Interior;Rancharia;4953;96;;;
3542305;Interior;Redenção da Serra;119;5;;;
3542404;Interior;Regente Feijó;763;65;;;
3542503;Interior;Reginópolis;379;22;;;
3542602;Interior;Registro;7021;225;;;
3542701;Interior;Restinga;726;10;;;
3542800;Interior;Ribeira;463;8;;;
3542909;Interior;Ribeirão Bonito;1093;29;;;
3543006;Interior;Ribeirão Branco;2027;60;;;
3543105;Interior;Ribeirão Corrente;343;4;;;
3543204;Interior;Ribeirão do Sul;706;24;;;
3543238;Interior;Ribeirão dos Índios;102;6;;;
3543253;Interior;Ribeirão Grande;529;26;;;
3543303;RMSP (exceto capital);Ribeirão Pires;9571;357;;;
3543402;Interior;Ribeirão Preto;88835;3057;;;
3543501;Interior;Riversul;555;31;;;
3543600;Interior;Rifaina;521;12;;;
3543709;Interior;Rincão;629;33;;;
3543808;Interior;Rinópolis;662;18;;;
3543907;Interior;Rio Claro;12792;593;;;
3544004;Interior;Rio das Pedras;3673;106;;;
3544103;RMSP (exceto capital);Rio Grande da Serra;2254;94;;;
3544202;Interior;Riolândia;2030;31;;;
3544251;Interior;Rosana;1679;45;;;
3544301;Interior;Roseira;1606;28;;;
3544400;Interior;Rubiácea;237;10;;;
3544509;Interior;Rubinéia;573;11;;;
3544608;Interior;Sabino;288;26;;;
3544707;Interior;Sagres;264;4;;;
3544806;Interior;Sales;536;31;;;
3544905;Interior;Sales Oliveira;1834;31;;;
3545001;RMSP (exceto capital);Salesópolis;673;55;;;
3545100;Interior;Salmourão;389;21;;;
3545159;Interior;Saltinho;1853;21;;;
3545209;Interior;Salto;17886;436;;;
3545308;Interior;Salto de Pirapora;4395;180;;;
3545407;Interior;Salto Grande;1260;17;;;
3545506;Interior;Sandovalina;435;12;;;
3545605;Interior;Santa Adélia;1705;58;;;
3545704;Interior;Santa Albertina;862;26;;;
3545803;Interior;Santa Bárbara d'Oeste;23550;822;;;
3546009;Interior;Santa Branca;1243;35;;;
3546108;Interior;Santa Clara d'Oeste;317;18;;;
3546207;Interior;Santa Cruz da Conceição;871;14;;;
3546256;Interior;Santa Cruz da Esperança;198;4;;;
3546306;Interior;Santa Cruz das Palmeiras;4118;123;;;
3546405;Interior;Santa Cruz do Rio Pardo;6821;174;;;
3546504;Interior;Santa Ernestina;549;17;;;
3546603;Interior;Santa Fé do Sul;5317;131;;;
3546702;Interior;Santa Gertrudes;3898;78;;;
3546801;RMSP (exceto capital);Santa Isabel;6336;270;;;
3546900;Interior;Santa Lúcia;722;24;;;
3547007;Interior;Santa Maria da Serra;840;8;;;
3547106;Interior;Santa Mercedes;289;9;;;
3547205;Interior;Santana da Ponte Pensa;57;3;;;
3547304;RMSP (exceto capital);Santana de Parnaíba;16207;395;;;
3547403;Interior;Santa Rita d'Oeste;300;12;;;
3547502;Interior;Santa Rita do Passa Quatro;1775;42;;;
3547601;Interior;Santa Rosa de Viterbo;2449;46;;;
3547650;Interior;Santa Salete;229;7;;;
3547700;Interior;Santo Anastácio;2046;66;;;
3547809;RMSP (exceto capital);Santo André;68234;3215;;;
3547908;Interior;Santo Antônio da Alegria;530;21;;;
3548005;Interior;Santo Antônio de Posse;3310;56;;;
3548054;Interior;Santo Antônio do Aracanguá;637;34;;;
3548104;Interior;Santo Antônio do Jardim;578;21;;;
3548203;Interior;Santo Antônio do Pinhal;901;8;;;
3548302;Interior;Santo Expedito;201;6;;;
3548401;Interior;Santópolis do Aguapeí;629;18;;;
3548500;Interior;Santos;63412;2314;;;
3548609;Interior;São Bento do Sapucaí;807;13;;;
3548708;RMSP (exceto capital);São Bernardo do Campo;72442;3398;;;
3548807;RMSP (exceto capital);São Caetano do Sul;20924;975;;;
3548906;Interior;São Carlos;27638;547;;;
3549003;Interior;São Francisco;321;14;;;
3549102;Interior;São João da Boa Vista;10630;319;;;
3549201;Interior;São João das Duas Pontes;215;10;;;
3549250;Interior;São João de Iracema;180;7;;;
3549300;Interior;São João do Pau d'Alho;196;1;;;
3549409;Interior;São Joaquim da Barra;6535;170;;;
3549508;Interior;São José da Bela Vista;323;18;;;
3549607;Interior;São José do Barreiro;305;4;;;
3549706;Interior;São José do Rio Pardo;4328;156;;;
3549805;Interior;São José do Rio Preto;102796;2860;;;
3549904;Interior;São José dos Campos;99779;2018;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;686;38;;;
3550001;Interior;São Luiz do Paraitinga;950;28;;;
3550100;Interior;São Manuel;5787;153;;;
3550209;Interior;São Miguel Arcanjo;2160;76;;;
3550308;Capital;São Paulo;991062;39907;;;
3550407;Interior;São Pedro;6458;105;;;
3550506;Interior;São Pedro do Turvo;991;13;;;
3550605;Interior;São Roque;7044;110;;;
3550704;Interior;São Sebastião;8156;176;;;
3550803;Interior;São Sebastião da Grama;1398;33;;;
3550902;Interior;São Simão;1281;31;;;
3551009;Interior;São Vicente;19252;1345;;;
3551108;Interior;Sarapuí;515;7;;;
3551207;Interior;Sarutaiá;132;19;;;
3551306;Interior;Sebastianópolis do Sul;251;7;;;
3551405;Interior;Serra Azul;1382;16;;;
3551504;Interior;Serrana;5988;117;;;
3551603;Interior;Serra Negra;3219;74;;;
3551702;Interior;Sertãozinho;20138;505;;;
3551801;Interior;Sete Barras;2005;44;;;
3551900;Interior;Severínia;2283;75;;;
3552007;Interior;Silveiras;553;6;;;
3552106;Interior;Socorro;4595;77;;;
3552205;Interior;Sorocaba;78205;2898;;;
3552304;Interior;Sud Mennucci;949;16;;;
3552403;Interior;Sumaré;29512;872;;;
3552502;RMSP (exceto capital);Suzano;24189;974;;;
3552551;Interior;Suzanápolis;377;12;;;
3552601;Interior;Tabapuã;1961;62;;;
3552700;Interior;Tabatinga;2051;60;;;
3552809;RMSP (exceto capital);Taboão da Serra;18839;970;;;
3552908;Interior;Taciba;839;26;;;
3553005;Interior;Taguaí;2721;38;;;
3553104;Interior;Taiaçu;402;12;;;
3553203;Interior;Taiúva;921;16;;;
3553302;Interior;Tambaú;3068;50;;;
